Date,Close,,Date,Close,,Date,Close
05/06/2025 23:58:00,105084.4,,04/06/2025 23:58:00,2594.478,,04/06/2025 23:58:00,155.3399
06/06/2025 23:58:00,102549.2,,05/06/2025 23:58:00,2608.6477,,05/06/2025 23:58:00,153.3625
07/06/2025 23:58:00,104951.3,,06/06/2025 23:58:00,2416.2411,,06/06/2025 23:58:00,144.5401
08/06/2025 23:58:00,105525.3,,07/06/2025 23:58:00,2478.0639,,07/06/2025 23:58:00,147.9098
09/06/2025 23:58:00,105687.6,,08/06/2025 23:58:00,2526.2893,,08/06/2025 23:58:00,150.1437
10/06/2025 23:58:00,109549,,09/06/2025 23:58:00,2510.9076,,09/06/2025 23:58:00,152.4393
11/06/2025 23:58:00,109722.3,,10/06/2025 23:58:00,2681.2674,,10/06/2025 23:58:00,161.105
12/06/2025 23:58:00,107845.6,,11/06/2025 23:58:00,2814.8368,,11/06/2025 23:58:00,165.0249
13/06/2025 23:58:00,104498.1,,12/06/2025 23:58:00,2772.8448,,12/06/2025 23:58:00,161.0558
14/06/2025 23:58:00,105312.9,,13/06/2025 23:58:00,2643.7887,,13/06/2025 23:58:00,152.7243
15/06/2025 23:58:00,105562.5,,14/06/2025 23:58:00,2579.7889,,14/06/2025 23:58:00,148.6387
16/06/2025 23:58:00,105950.6,,15/06/2025 23:58:00,2532.764,,15/06/2025 23:58:00,144.7567
17/06/2025 23:58:00,107598.5,,16/06/2025 23:58:00,2547.7383,,16/06/2025 23:58:00,152.8448
18/06/2025 23:58:00,105191.3,,17/06/2025 23:58:00,2542.6312,,17/06/2025 23:58:00,150.877
19/06/2025 23:58:00,105075.2,,18/06/2025 23:58:00,2510.1828,,18/06/2025 23:58:00,147.7051
20/06/2025 23:58:00,104637,,19/06/2025 23:58:00,2525.1483,,19/06/2025 23:58:00,146.3599
21/06/2025 23:58:00,103589.5,,20/06/2025 23:58:00,2521.5258,,20/06/2025 23:58:00,147.0758
22/06/2025 23:58:00,102394.4,,21/06/2025 23:58:00,2406.7561,,21/06/2025 23:58:00,140.1427
23/06/2025 23:58:00,101220,,22/06/2025 23:58:00,2296.6047,,22/06/2025 23:58:00,135.1784
24/06/2025 23:58:00,105019,,23/06/2025 23:58:00,2228.1479,,23/06/2025 23:58:00,131.6572
25/06/2025 23:58:00,106311.5,,24/06/2025 23:58:00,2412.7634,,24/06/2025 23:58:00,144.7683
26/06/2025 23:58:00,107899.3,,25/06/2025 23:58:00,2449.7001,,25/06/2025 23:58:00,145.9566
27/06/2025 23:58:00,107523.7,,26/06/2025 23:58:00,2419.3084,,26/06/2025 23:58:00,143.5091
28/06/2025 23:58:00,107342.2,,27/06/2025 23:58:00,2416.3115,,27/06/2025 23:58:00,139.0618
29/06/2025 23:58:00,107249.3,,28/06/2025 23:58:00,2423.8919,,28/06/2025 23:58:00,142.1906
